,ImageID,LabelName,Width,Height
0,apple_fuji_L_1-10_5DI90,특,9.7,9
1,apple_fuji_L_1-11_1TOP,특,9.7,9
2,apple_fuji_L_1-12_2FR45,특,9.7,9
3,apple_fuji_L_1-13_3FR90,특,9.7,9
4,apple_fuji_L_1-14_4DI45,특,9.7,9
5,apple_fuji_L_1-15_5DI90,특,9.7,9
6,apple_fuji_L_1-16_1TOP,특,9.7,9
7,apple_fuji_L_1-17_2FR45,특,9.7,9
8,apple_fuji_L_1-18_3FR90,특,9.7,9
9,apple_fuji_L_1-19_4DI45,특,9.7,9
10,apple_fuji_L_1-1_1TOP,특,9.7,9
11,apple_fuji_L_1-20_5DI90,특,9.7,9
12,apple_fuji_L_1-21_1TOP,특,9.7,9
13,apple_fuji_L_1-22_2FR45,특,9.7,9
14,apple_fuji_L_1-23_3FR90,특,9.7,9
15,apple_fuji_L_1-24_4DI45,특,9.7,9
16,apple_fuji_L_1-25_5DI90,특,9.7,9
17,apple_fuji_L_1-26_1TOP,특,9.7,9
18,apple_fuji_L_1-27_2FR45,특,9.7,9
19,apple_fuji_L_1-28_3FR90,특,9.7,9
20,apple_fuji_L_1-29_4DI45,특,9.7,9
21,apple_fuji_L_1-2_2FR45,특,9.7,9
22,apple_fuji_L_1-30_5DI90,특,9.7,9
23,apple_fuji_L_1-31_1TOP,특,9.7,9
24,apple_fuji_L_1-32_2FR45,특,9.7,9
25,apple_fuji_L_1-33_3FR90,특,9.7,9
26,apple_fuji_L_1-34_4DI45,특,9.7,9
27,apple_fuji_L_1-35_5DI90,특,9.7,9
28,apple_fuji_L_1-36_1TOP,특,9.7,9
29,apple_fuji_L_1-37_2FR45,특,9.7,9
30,apple_fuji_L_1-38_3FR90,특,9.7,9
31,apple_fuji_L_1-39_4DI45,특,9.7,9
32,apple_fuji_L_1-3_3FR90,특,9.7,9
33,apple_fuji_L_1-40_5DI90,특,9.7,9
34,apple_fuji_L_1-4_4DI45,특,9.7,9
35,apple_fuji_L_1-5_5DI90,특,9.7,9
36,apple_fuji_L_1-6_1TOP,특,9.7,9
37,apple_fuji_L_1-7_2FR45,특,9.7,9
38,apple_fuji_L_1-8_3FR90,특,9.7,9
39,apple_fuji_L_1-9_4DI45,특,9.7,9
40,apple_fuji_L_10-10_5DI90,특,9.6,8.9
41,apple_fuji_L_10-11_1TOP,특,9.6,8.9
42,apple_fuji_L_10-12_2FR45,특,9.6,8.9
43,apple_fuji_L_10-13_3FR90,특,9.6,8.9
44,apple_fuji_L_10-14_4DI45,특,9.6,8.9
45,apple_fuji_L_10-15_5DI90,특,9.6,8.9
46,apple_fuji_L_10-16_1TOP,특,9.6,8.9
47,apple_fuji_L_10-17_2FR45,특,9.6,8.9
48,apple_fuji_L_10-18_3FR90,특,9.6,8.9
49,apple_fuji_L_10-19_4DI45,특,9.6,8.9
50,apple_fuji_L_10-1_1TOP,특,9.6,8.9
51,apple_fuji_L_10-20_5DI90,특,9.6,8.9
52,apple_fuji_L_10-21_1TOP,특,9.6,8.9
53,apple_fuji_L_10-22_2FR45,특,9.6,8.9
54,apple_fuji_L_10-23_3FR90,특,9.6,8.9
55,apple_fuji_L_10-24_4DI45,특,9.6,8.9
56,apple_fuji_L_10-25_5DI90,특,9.6,8.9
57,apple_fuji_L_10-26_1TOP,특,9.6,8.9
58,apple_fuji_L_10-27_2FR45,특,9.6,8.9
59,apple_fuji_L_10-28_3FR90,특,9.6,8.9
60,apple_fuji_L_10-29_4DI45,특,9.6,8.9
61,apple_fuji_L_10-2_2FR45,특,9.6,8.9
62,apple_fuji_L_10-30_5DI90,특,9.6,8.9
63,apple_fuji_L_10-31_1TOP,특,9.6,8.9
64,apple_fuji_L_10-32_2FR45,특,9.6,8.9
65,apple_fuji_L_10-33_3FR90,특,9.6,8.9
66,apple_fuji_L_10-34_4DI45,특,9.6,8.9
67,apple_fuji_L_10-35_5DI90,특,9.6,8.9
68,apple_fuji_L_10-36_1TOP,특,9.6,8.9
69,apple_fuji_L_10-37_2FR45,특,9.6,8.9
70,apple_fuji_L_10-38_3FR90,특,9.6,8.9
71,apple_fuji_L_10-39_4DI45,특,9.6,8.9
72,apple_fuji_L_10-3_3FR90,특,9.6,8.9
73,apple_fuji_L_10-40_5DI90,특,9.6,8.9
74,apple_fuji_L_10-4_4DI45,특,9.6,8.9
75,apple_fuji_L_10-5_5DI90,특,9.6,8.9
76,apple_fuji_L_10-6_1TOP,특,9.6,8.9
77,apple_fuji_L_10-7_2FR45,특,9.6,8.9
78,apple_fuji_L_10-8_3FR90,특,9.6,8.9
79,apple_fuji_L_10-9_4DI45,특,9.6,8.9
80,apple_fuji_L_11-10_5DI90,특,9.4,8.7
81,apple_fuji_L_11-11_1TOP,특,9.4,8.7
82,apple_fuji_L_11-12_2FR45,특,9.4,8.7
83,apple_fuji_L_11-13_3FR90,특,9.4,8.7
84,apple_fuji_L_11-14_4DI45,특,9.4,8.7
85,apple_fuji_L_11-15_5DI90,특,9.4,8.7
86,apple_fuji_L_11-16_1TOP,특,9.4,8.7
87,apple_fuji_L_11-17_2FR45,특,9.4,8.7
88,apple_fuji_L_11-18_3FR90,특,9.4,8.7
89,apple_fuji_L_11-19_4DI45,특,9.4,8.7
90,apple_fuji_L_11-1_1TOP,특,9.4,8.7
91,apple_fuji_L_11-20_5DI90,특,9.4,8.7
92,apple_fuji_L_11-21_1TOP,특,9.4,8.7
93,apple_fuji_L_11-22_2FR45,특,9.4,8.7
94,apple_fuji_L_11-23_3FR90,특,9.4,8.7
95,apple_fuji_L_11-24_4DI45,특,9.4,8.7
96,apple_fuji_L_11-25_5DI90,특,9.4,8.7
97,apple_fuji_L_11-26_1TOP,특,9.4,8.7
98,apple_fuji_L_11-27_2FR45,특,9.4,8.7
99,apple_fuji_L_11-28_3FR90,특,9.4,8.7
100,apple_fuji_L_11-29_4DI45,특,9.4,8.7
101,apple_fuji_L_11-2_2FR45,특,9.4,8.7
102,apple_fuji_L_11-30_5DI90,특,9.4,8.7
103,apple_fuji_L_11-31_1TOP,특,9.4,8.7
104,apple_fuji_L_11-32_2FR45,특,9.4,8.7
105,apple_fuji_L_11-33_3FR90,특,9.4,8.7
106,apple_fuji_L_11-34_4DI45,특,9.4,8.7
107,apple_fuji_L_11-35_5DI90,특,9.4,8.7
108,apple_fuji_L_11-36_1TOP,특,9.4,8.7
109,apple_fuji_L_11-37_2FR45,특,9.4,8.7
110,apple_fuji_L_11-38_3FR90,특,9.4,8.7
111,apple_fuji_L_11-39_4DI45,특,9.4,8.7
112,apple_fuji_L_11-3_3FR90,특,9.4,8.7
113,apple_fuji_L_11-40_5DI90,특,9.4,8.7
114,apple_fuji_L_11-4_4DI45,특,9.4,8.7
115,apple_fuji_L_11-5_5DI90,특,9.4,8.7
116,apple_fuji_L_11-6_1TOP,특,9.4,8.7
117,apple_fuji_L_11-7_2FR45,특,9.4,8.7
118,apple_fuji_L_11-8_3FR90,특,9.4,8.7
119,apple_fuji_L_11-9_4DI45,특,9.4,8.7
120,apple_fuji_L_12-10_5DI90,특,9.7,8.7
121,apple_fuji_L_12-11_1TOP,특,9.7,8.7
